Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
"C1"	"CL10A106KP8NNNC"	"C0603"	"69.088mm"	"-47.498mm"	"69.088mm"	"-47.498mm"	"68.388mm"	"-47.498mm"	"2"	"T"	"0"	"Yes"	"10uF"	"10uF"
"C2"	"CC0603KRX7R9BB104"	"C0603"	"111.125mm"	"-99.568mm"	"111.125mm"	"-99.568mm"	"111.125mm"	"-98.868mm"	"2"	"T"	"270"	"Yes"	"100nF"	"100nF"
"C3"	"CL10A105KB8NNNC"	"C0603"	"105.664mm"	"-32.639mm"	"105.664mm"	"-32.639mm"	"105.664mm"	"-31.939mm"	"2"	"T"	"270"	"Yes"	"1uF"	"1uF"
"C4"	"CL10A105KB8NNNC"	"C0603"	"105.537mm"	"-39.878mm"	"105.537mm"	"-39.878mm"	"105.537mm"	"-39.178mm"	"2"	"T"	"270"	"Yes"	"1uF"	"1uF"
"C15"	"CL10A105KB8NNNC"	"C0603"	"69.088mm"	"-49.276mm"	"69.088mm"	"-49.276mm"	"68.388mm"	"-49.276mm"	"2"	"T"	"0"	"Yes"	"1uF"	"1uF"
"C17"	"25TZV470M10X10.5"	"CAP-SMD_BD10.0-L10.3-W10.3-LS10.8-FD"	"30.099mm"	"-28.702mm"	"30.099mm"	"-28.702mm"	"30.099mm"	"-24.202mm"	"2"	"T"	"270"	"Yes"	"470uF"	"470uF"
"C19"	"TAJA226K010RNJ"	"CASE-A_3216"	"14.202mm"	"-18.268mm"	"14.202mm"	"-18.268mm"	"14.202mm"	"-19.468mm"	"2"	"T"	"90"	"Yes"	"22uF"	"22uF"
"C20"	"CC0603KRX7R9BB104"	"C0603"	"20.574mm"	"-16.891mm"	"20.574mm"	"-16.891mm"	"20.574mm"	"-17.591mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C21"	"CC0603KRX7R9BB104"	"C0603"	"18.034mm"	"-63.5mm"	"18.034mm"	"-63.5mm"	"18.034mm"	"-64.2mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C22"	"CC0603KRX7R9BB104"	"C0603"	"18.034mm"	"-58.547mm"	"18.034mm"	"-58.547mm"	"18.034mm"	"-59.247mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C23"	"CC0603KRX7R9BB104"	"C0603"	"18.034mm"	"-53.467mm"	"18.034mm"	"-53.467mm"	"18.034mm"	"-54.167mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C24"	"CC0603KRX7R9BB104"	"C0603"	"17.907mm"	"-48.387mm"	"17.907mm"	"-48.387mm"	"17.907mm"	"-49.087mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C25"	"CC0603KRX7R9BB104"	"C0603"	"18.034mm"	"-85.598mm"	"18.034mm"	"-85.598mm"	"18.034mm"	"-86.298mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C26"	"CC0603KRX7R9BB104"	"C0603"	"18.034mm"	"-80.518mm"	"18.034mm"	"-80.518mm"	"18.034mm"	"-81.218mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C27"	"CC0603KRX7R9BB104"	"C0603"	"18.034mm"	"-75.946mm"	"18.034mm"	"-75.946mm"	"18.034mm"	"-76.646mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C28"	"CC0603KRX7R9BB104"	"C0603"	"18.034mm"	"-70.358mm"	"18.034mm"	"-70.358mm"	"18.034mm"	"-71.058mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C29"	"CC0603KRX7R9BB104"	"C0603"	"14.224mm"	"-14.605mm"	"14.224mm"	"-14.605mm"	"14.224mm"	"-15.305mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C30"	"TAJA226K010RNJ"	"CASE-A_3216"	"12.299mm"	"-18.16mm"	"12.299mm"	"-18.16mm"	"12.299mm"	"-19.36mm"	"2"	"T"	"90"	"Yes"	"22uF"	"22uF"
"C33"	"CL10A105KB8NNNC"	"C0603"	"31.369mm"	"-50.419mm"	"31.369mm"	"-50.419mm"	"32.069mm"	"-50.419mm"	"2"	"T"	"180"	"Yes"	"1uF"	"1uF"
"C34"	"CL10A105KB8NNNC"	"C0603"	"31.369mm"	"-72.39mm"	"31.369mm"	"-72.39mm"	"32.069mm"	"-72.39mm"	"2"	"T"	"180"	"Yes"	"1uF"	"1uF"
"D2"	"USBLC6-2SC6_C7519"	"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL"	"70.104mm"	"-101.6mm"	"70.104mm"	"-101.6mm"	"71.054mm"	"-100.451mm"	"6"	"T"	"180"	"Yes"	"USBLC6-2SC6"	"USBLC6-2SC6"
"D3"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"69.215mm"	"-13.335mm"	"69.215mm"	"-13.335mm"	"67.015mm"	"-13.335mm"	"2"	"T"	"0"	"Yes"	"SS34"	"SS34"
"D10"	"SM712"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"110.49mm"	"-42.545mm"	"110.49mm"	"-42.545mm"	"111.49mm"	"-43.495mm"	"3"	"T"	"0"	"Yes"	"SM712"	"SM712"
"D11"	"SM712"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"110.49mm"	"-35.306mm"	"110.49mm"	"-35.306mm"	"111.49mm"	"-36.256mm"	"3"	"T"	"0"	"Yes"	"SM712"	"SM712"
"D20"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"61.849mm"	"-13.335mm"	"61.849mm"	"-13.335mm"	"59.649mm"	"-13.335mm"	"2"	"T"	"0"	"Yes"	"SS34"	"SS34"
"D21"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"54.61mm"	"-13.335mm"	"54.61mm"	"-13.335mm"	"52.41mm"	"-13.335mm"	"2"	"T"	"0"	"Yes"	"SS34"	"SS34"
"D22"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"47.498mm"	"-13.335mm"	"47.498mm"	"-13.335mm"	"45.298mm"	"-13.335mm"	"2"	"T"	"0"	"Yes"	"SS34"	"SS34"
"D23"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"97.917mm"	"-13.462mm"	"97.917mm"	"-13.462mm"	"95.717mm"	"-13.462mm"	"2"	"T"	"0"	"Yes"	"SS34"	"SS34"
"D24"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"90.805mm"	"-13.462mm"	"90.805mm"	"-13.462mm"	"88.605mm"	"-13.462mm"	"2"	"T"	"0"	"Yes"	"SS34"	"SS34"
"D25"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"83.82mm"	"-13.335mm"	"83.82mm"	"-13.335mm"	"81.62mm"	"-13.335mm"	"2"	"T"	"0"	"Yes"	"SS34"	"SS34"
"D26"	"SS34_C8678"	"SMA_L4.3-W2.6-LS5.2-RD"	"76.835mm"	"-13.335mm"	"76.835mm"	"-13.335mm"	"74.635mm"	"-13.335mm"	"2"	"T"	"0"	"Yes"	"SS34"	"SS34"
"F1"	"1812L200/16GR"	"F1812"	"71.51mm"	"-18.265mm"	"71.51mm"	"-18.265mm"	"71.51mm"	"-20.119mm"	"2"	"T"	"90"	"Yes"	"1812L200/16GR"	"1812L200/16GR"
"F2"	"1812L200/16GR"	"F1812"	"64.008mm"	"-17.907mm"	"64.008mm"	"-17.907mm"	"64.008mm"	"-19.76mm"	"2"	"T"	"90"	"Yes"	"1812L200/16GR"	"1812L200/16GR"
"F3"	"1812L200/16GR"	"F1812"	"56.778mm"	"-17.993mm"	"56.778mm"	"-17.993mm"	"56.778mm"	"-19.846mm"	"2"	"T"	"90"	"Yes"	"1812L200/16GR"	"1812L200/16GR"
"F4"	"1812L200/16GR"	"F1812"	"49.657mm"	"-18.034mm"	"49.657mm"	"-18.034mm"	"49.657mm"	"-19.887mm"	"2"	"T"	"90"	"Yes"	"1812L200/16GR"	"1812L200/16GR"
"F5"	"1812L200/16GR"	"F1812"	"100.076mm"	"-18.161mm"	"100.076mm"	"-18.161mm"	"100.076mm"	"-20.014mm"	"2"	"T"	"90"	"Yes"	"1812L200/16GR"	"1812L200/16GR"
"F6"	"1812L200/16GR"	"F1812"	"93.076mm"	"-18.32mm"	"93.076mm"	"-18.32mm"	"93.076mm"	"-20.174mm"	"2"	"T"	"90"	"Yes"	"1812L200/16GR"	"1812L200/16GR"
"F7"	"1812L200/16GR"	"F1812"	"85.979mm"	"-18.161mm"	"85.979mm"	"-18.161mm"	"85.979mm"	"-20.014mm"	"2"	"T"	"90"	"Yes"	"1812L200/16GR"	"1812L200/16GR"
"F8"	"1812L200/16GR"	"F1812"	"78.994mm"	"-18.161mm"	"78.994mm"	"-18.161mm"	"78.994mm"	"-20.014mm"	"2"	"T"	"90"	"Yes"	"1812L200/16GR"	"1812L200/16GR"
"F9"	"178.6165.0002"	"178.6165.0002"	"10.541mm"	"-5.461mm"	"10.541mm"	"-5.461mm"	"16.941mm"	"-6.711mm"	"8"	"T"	"180"	"No"	"178.6165.0002"	"178.6165.0002"
"J1"	"KF128-7.5-2P"	"CONN-TH_P7.50_KF128-7.5-2P"	"5.461mm"	"-19.939mm"	"5.461mm"	"-19.939mm"	"5.461mm"	"-16.189mm"	"2"	"T"	"270"	"No"	"KF128-7.5-2P"	"KF128-7.5-2P"
"J2"	"DB128V-5.08-6P-GN-S"	"CONN-TH_6P-P5.08_DIBO_DB128V-5.08"	"118.618mm"	"-33.655mm"	"118.618mm"	"-33.655mm"	"118.618mm"	"-46.355mm"	"6"	"T"	"90"	"No"	"DB128V-5.08-6P-GN-S"	"DB128V-5.08-6P-GN-S"
"J3a"	"DB128V-5.08-4P-GN-S"	"CONN-TH_4P-P5.08_DIBO_DB128V-5.08"	"5.207mm"	"-55.245mm"	"5.207mm"	"-55.245mm"	"5.207mm"	"-47.625mm"	"4"	"T"	"270"	"No"	"DB128V-5.08-4P-GN-S"	"DB128V-5.08-4P-GN-S"
"J3b"	"DB128V-5.08-4P-GN-S"	"CONN-TH_4P-P5.08_DIBO_DB128V-5.08"	"5.334mm"	"-77.216mm"	"5.334mm"	"-77.216mm"	"5.334mm"	"-69.596mm"	"4"	"T"	"270"	"No"	"DB128V-5.08-4P-GN-S"	"DB128V-5.08-4P-GN-S"
"J4"	"DB128V-5.08-2P-GN-S"	"CONN-TH_2P-P5.08_DIBO_DB128V-5.08"	"5.334mm"	"-38.481mm"	"5.334mm"	"-38.481mm"	"5.334mm"	"-35.941mm"	"2"	"T"	"270"	"No"	"DB128V-5.08-2P-GN-S"	"DB128V-5.08-2P-GN-S"
"J5a"	"DB128V-5.08-4P-GN-S"	"CONN-TH_4P-P5.08_DIBO_DB128V-5.08"	"60.579mm"	"-5.334mm"	"60.579mm"	"-5.334mm"	"68.199mm"	"-5.334mm"	"4"	"T"	"180"	"No"	"DB128V-5.08-4P-GN-S"	"DB128V-5.08-4P-GN-S"
