No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	10uF	C1	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
2	1	100nF	C2	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC
3	5	1uF	C3,C15,C30,C31,C32	C0603	1uF	CL10A105KB8NNNC	SAMSUNG(三星)	C15849	LCSC
4	10	100nF	C4,C6,C19,C20,C23,C24,C25,C26,C27,C29	C0603	100nF	CL10B104KB8NNNC	SAMSUNG(三星)	C1591	LCSC
5	1	100uF	C17	CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD	100uF	RST100UF25V004	KNSCHA(科尼盛)	C4747964	LCSC
6	1	22uF	C18	CASE-A_3216	22uF	TAJA226K010RNJ	Kyocera AVX	C11366	LCSC
7	1	22uF	C28	C0805	22uF	CL21A226MAQNNNE	SAMSUNG(三星)	C45783	LCSC
8	1	DB128V-5.08-6P-GN-S	CN2	CONN-TH_6P-P5.08_DIBO_DB128V-5.08		DB128V-5.08-6P-GN-S	DORABO(地博电气)	C2915642	LCSC
9	1	SS34	D1	SMA_L4.2-W2.7-LS5.0-RD		SS34	JSMSEMI(杰盛微)	C2837271	LCSC
10	2	SM712	D10,D11	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		SM712	TECH PUBLIC(台舟)	C521963	LCSC
11	1	USBLC6-2SC6	D12	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL		USBLC6-2SC6	ST(意法半导体)	C7519	LCSC
12	1	BSMD1812-300-16V	F1	F1812		BSMD1812-300-16V	BHFUSE(佰宏)	C883162	LCSC
13	2	DB128V-5.08-2P-GN-S	J1,J3	CONN-TH_2P-P5.08_DIBO_DB128V-5.08		DB128V-5.08-2P-GN-S	DORABO(地博电气)	C2915639	LCSC
14	2	DB128V-5.08-4P-GN-S	J2a,J2b	CONN-TH_4P-P5.08_DIBO_DB128V-5.08		DB128V-5.08-4P-GN-S	DORABO(地博电气)	C2915641	LCSC
15	1	TYPE-C 16PIN 2MD(073)	J5	USB-C-SMD_TYPE-C-16PIN-2MD-073		TYPE-C 16PIN 2MD(073)	SHOU HAN(首韩)	C2765186	LCSC
16	1	HX PZ1.27-2x5P TP	J6	HDR-SMD_10P-P1.27-V-M-R2-C5-LS5.5_1		HX PZ1.27-2x5P TP	hanxia(韩下)	C41376037	LCSC
17	1	4.7uH	L1	IND-SMD_L5.0-W5.0	4.7uH	PNLS5020-4R7M 4.7UH	DMBJ(振宝佳)	C2849485	LCSC
18	1	F.0603.00025/P2-0603G1TS2-06T-002	LED1	LED0603-RD_GREEN		F.0603.00025/P2-0603G1TS2-06T-002	TUOZHAN(拓展光电)	C7496818	LCSC
19	1	F.0603.00026/P2-0603B1TS2-06T-001	LED2	LED0603-RD		F.0603.00026/P2-0603B1TS2-06T-001	TUOZHAN(拓展光电)	C7496819	LCSC
20	8	19-213/Y2C-CQ2R2L/3T(CY)	LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10	LED0603-RD-YELLOW		19-213/Y2C-CQ2R2L/3T(CY)	EVERLIGHT(亿光)	C72038	LCSC
21	17	10kΩ	R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R33	R0603	10kΩ	0603WAF1002T5E	UNI-ROYAL(厚声)	C25804	LCSC
22	9	330Ω	R17,R18,R19,R20,R21,R22,R23,R24,R25	R0603	330Ω	0603WAF3300T5E	UNI-ROYAL(厚声)	C23138	LCSC
23	1	120Ω	R27	R0603	120Ω	0603WAF1200T5E	UNI-ROYAL(厚声)	C22787	LCSC
24	1	150Ω	R28	R0603	150Ω	0603WAF1500T5E	UNI-ROYAL(厚声)	C22808	LCSC
25	2	22Ω	R31,R32	R0603	22Ω	0603WAF220JT5E	UNI-ROYAL(厚声)	C23345	LCSC
26	2	5.1kΩ	R35,R36	R0603	5.1kΩ	0603WAF5101T5E	UNI-ROYAL(厚声)	C23186	LCSC
27	2	TS-1187A-B-A-B	SW1,SW2	SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5		TS-1187A-B-A-B	XKB Connection(中国星坤)	C318884	LCSC
28	1	STM32G0B1CBT6	U1	LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL		STM32G0B1CBT6	ST(意法半导体)	C2847904	LCSC
29	2	SP3485EN-L/TR	U2A,U2B	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL		SP3485EN-L/TR	MaxLinear(迈凌)	C8963	LCSC
30	1	AP63203WU-7	U4	TSOT-26_L2.9-W1.6-P0.95-LS2.8-BL		AP63203WU-7	DIODES(美台)	C780769	LCSC
31	2	SN74LV14APWR	U5,U6	TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL		SN74LV14APWR	TI(德州仪器)	C7780	LCSC
