Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment	Name
"C1"	"CL10A106KP8NNNC"	"C0603"	"47.752mm"	"-33.782mm"	"47.752mm"	"-33.782mm"	"47.052mm"	"-33.782mm"	"2"	"T"	"0"	"Yes"	"10uF"	"10uF"
"C4"	"CL10B104KB8NNNC"	"C0603"	"17.248mm"	"-45.798mm"	"17.248mm"	"-45.798mm"	"17.248mm"	"-46.498mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C3"	"CL10A105KB8NNNC"	"C0603"	"65.405mm"	"-20.574mm"	"65.405mm"	"-20.574mm"	"65.405mm"	"-21.274mm"	"2"	"T"	"90"	"Yes"	"1uF"	"1uF"
"C6"	"CL10B104KB8NNNC"	"C0603"	"22.479mm"	"-10.16mm"	"22.479mm"	"-10.16mm"	"23.179mm"	"-10.16mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C15"	"CL10A105KB8NNNC"	"C0603"	"47.792mm"	"-35.574mm"	"47.792mm"	"-35.574mm"	"47.092mm"	"-35.574mm"	"2"	"T"	"0"	"Yes"	"1uF"	"1uF"
"C17"	"RST100UF25V004"	"CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD"	"15.621mm"	"-15.367mm"	"15.621mm"	"-15.367mm"	"18.291mm"	"-15.367mm"	"2"	"T"	"180"	"Yes"	"100uF"	"100uF"
"C18"	"TAJA226K010RNJ"	"CASE-A_3216"	"26.162mm"	"-12.192mm"	"26.162mm"	"-12.192mm"	"27.362mm"	"-12.192mm"	"2"	"T"	"180"	"Yes"	"22uF"	"22uF"
"C19"	"CL10B104KB8NNNC"	"C0603"	"25.019mm"	"-3.556mm"	"25.019mm"	"-3.556mm"	"25.719mm"	"-3.556mm"	"2"	"T"	"180"	"Yes"	"100nF"	"100nF"
"C20"	"CL10B104KB8NNNC"	"C0603"	"16.613mm"	"-58.879mm"	"16.613mm"	"-58.879mm"	"16.613mm"	"-59.579mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C23"	"CL10B104KB8NNNC"	"C0603"	"16.778mm"	"-64.023mm"	"16.778mm"	"-64.023mm"	"16.778mm"	"-64.723mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C24"	"CL10B104KB8NNNC"	"C0603"	"16.867mm"	"-69.166mm"	"16.867mm"	"-69.166mm"	"16.867mm"	"-69.866mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C25"	"CL10B104KB8NNNC"	"C0603"	"16.867mm"	"-74.246mm"	"16.867mm"	"-74.246mm"	"16.867mm"	"-74.946mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C26"	"CL10B104KB8NNNC"	"C0603"	"17.286mm"	"-35.684mm"	"17.286mm"	"-35.684mm"	"17.286mm"	"-36.384mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C27"	"CL10B104KB8NNNC"	"C0603"	"17.286mm"	"-40.785mm"	"17.286mm"	"-40.785mm"	"17.286mm"	"-41.485mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C28"	"CL21A226MAQNNNE"	"C0805"	"26.162mm"	"-10.16mm"	"26.162mm"	"-10.16mm"	"25.162mm"	"-10.16mm"	"2"	"T"	"0"	"Yes"	"22uF"	"22uF"
"C29"	"CL10B104KB8NNNC"	"C0603"	"17.286mm"	"-50.829mm"	"17.286mm"	"-50.829mm"	"17.286mm"	"-51.529mm"	"2"	"T"	"90"	"Yes"	"100nF"	"100nF"
"C30"	"CL10A105KB8NNNC"	"C0603"	"55.88mm"	"-20.828mm"	"55.88mm"	"-20.828mm"	"55.88mm"	"-21.528mm"	"2"	"T"	"90"	"Yes"	"1uF"	"1uF"
"C31"	"CL10A105KB8NNNC"	"C0603"	"21.947mm"	"-66.753mm"	"21.947mm"	"-66.753mm"	"21.947mm"	"-66.053mm"	"2"	"T"	"270"	"Yes"	"1uF"	"1uF"
"C32"	"CL10A105KB8NNNC"	"C0603"	"21.82mm"	"-44.528mm"	"21.82mm"	"-44.528mm"	"21.82mm"	"-43.828mm"	"2"	"T"	"270"	"Yes"	"1uF"	"1uF"
"CN2"	"DB128V-5.08-6P-GN-S"	"CONN-TH_6P-P5.08_DIBO_DB128V-5.08"	"51.759mm"	"-5.188mm"	"51.759mm"	"-5.188mm"	"64.459mm"	"-5.188mm"	"6"	"T"	"180"	"No"	"DB128V-5.08-6P-GN-S"	"DB128V-5.08-6P-GN-S"
"D1"	"SS34_C2837271"	"SMA_L4.2-W2.7-LS5.0-RD"	"5.461mm"	"-3.302mm"	"5.461mm"	"-3.302mm"	"7.461mm"	"-3.302mm"	"2"	"T"	"180"	"Yes"	"SS34"	"SS34"
"D10"	"SM712"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"62.103mm"	"-12.319mm"	"62.103mm"	"-12.319mm"	"63.053mm"	"-11.319mm"	"3"	"T"	"90"	"Yes"	"SM712"	"SM712"
"D11"	"SM712"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"52.521mm"	"-12.419mm"	"52.521mm"	"-12.419mm"	"53.471mm"	"-11.419mm"	"3"	"T"	"90"	"Yes"	"SM712"	"SM712"
"D12"	"USBLC6-2SC6_C7519"	"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL"	"48.895mm"	"-68.326mm"	"48.895mm"	"-68.326mm"	"49.845mm"	"-67.177mm"	"6"	"T"	"180"	"Yes"	"USBLC6-2SC6"	"USBLC6-2SC6"
"F1"	"BSMD1812-300-16V"	"F1812"	"13.843mm"	"-3.302mm"	"13.843mm"	"-3.302mm"	"11.99mm"	"-3.302mm"	"2"	"T"	"0"	"Yes"	"BSMD1812-300-16V"	"BSMD1812-300-16V"
"J1"	"DB128V-5.08-2P-GN-S"	"CONN-TH_2P-P5.08_DIBO_DB128V-5.08"	"5.588mm"	"-12.827mm"	"5.588mm"	"-12.827mm"	"5.588mm"	"-10.287mm"	"2"	"T"	"270"	"No"	"DB128V-5.08-2P-GN-S"	"DB128V-5.08-2P-GN-S"
"J2a"	"DB128V-5.08-4P-GN-S"	"CONN-TH_4P-P5.08_DIBO_DB128V-5.08"	"5.945mm"	"-64.086mm"	"5.945mm"	"-64.086mm"	"5.945mm"	"-56.466mm"	"4"	"T"	"270"	"No"	"DB128V-5.08-4P-GN-S"	"DB128V-5.08-4P-GN-S"
"J2b"	"DB128V-5.08-4P-GN-S"	"CONN-TH_4P-P5.08_DIBO_DB128V-5.08"	"5.945mm"	"-40.845mm"	"5.945mm"	"-40.845mm"	"5.945mm"	"-33.225mm"	"4"	"T"	"270"	"No"	"DB128V-5.08-4P-GN-S"	"DB128V-5.08-4P-GN-S"
"J3"	"DB128V-5.08-2P-GN-S"	"CONN-TH_2P-P5.08_DIBO_DB128V-5.08"	"5.461mm"	"-24.511mm"	"5.461mm"	"-24.511mm"	"5.461mm"	"-21.971mm"	"2"	"T"	"270"	"No"	"DB128V-5.08-2P-GN-S"	"DB128V-5.08-2P-GN-S"
"J5"	"TYPE-C 16PIN 2MD(073)"	"USB-C-SMD_TYPE-C-16PIN-2MD-073"	"48.895mm"	"-73.787mm"	"48.895mm"	"-73.787mm"	"44.57mm"	"-76.162mm"	"16"	"T"	"0"	"No"	"TYPE-C 16PIN 2MD(073)"	"TYPE-C 16PIN 2MD(073)"
"J6"	"HX PZ1.27-2x5P TP"	"HDR-SMD_10P-P1.27-V-M-R2-C5-LS5.5_1"	"63.5mm"	"-74.295mm"	"63.5mm"	"-74.295mm"	"60.96mm"	"-76.245mm"	"10"	"T"	"0"	"Yes"	"HX PZ1.27-2x5P TP"	"HX PZ1.27-2x5P TP"
"L1"	"PNLS5020-4R7M 4.7UH"	"IND-SMD_L5.0-W5.0"	"28.702mm"	"-6.477mm"	"28.702mm"	"-6.477mm"	"26.702mm"	"-6.477mm"	"2"	"T"	"180"	"Yes"	"4.7uH"	"4.7uH"
"LED1"	"F.0603.00025/P2-0603G1TS2-06T-002"	"LED0603-RD_GREEN"	"79.524mm"	"-49.184mm"	"79.524mm"	"-49.184mm"	"79.52mm"	"-48.385mm"	"2"	"T"	"270"	"Yes"	"F.0603.00025/P2-0603G1TS2-06T-002"	"F.0603.00025/P2-0603G1TS2-06T-002"
"LED2"	"F.0603.00026/P2-0603B1TS2-06T-001"	"LED0603-RD"	"79.403mm"	"-45.677mm"	"79.403mm"	"-45.677mm"	"79.403mm"	"-44.928mm"	"2"	"T"	"270"	"Yes"	"F.0603.00026/P2-0603B1TS2-06T-001"	"F.0603.00026/P2-0603B1TS2-06T-001"
"LED3"	"19-213/Y2C-CQ2R2L/3T(CY)"	"LED0603-RD-YELLOW"	"79.293mm"	"-42.406mm"	"79.293mm"	"-42.406mm"	"79.29mm"	"-41.606mm"	"2"	"T"	"270"	"Yes"	"19-213/Y2C-CQ2R2L/3T(CY)"	"19-213/Y2C-CQ2R2L/3T(CY)"
"LED4"	"19-213/Y2C-CQ2R2L/3T(CY)"	"LED0603-RD-YELLOW"	"79.276mm"	"-39.007mm"	"79.276mm"	"-39.007mm"	"79.273mm"	"-38.207mm"	"2"	"T"	"270"	"Yes"	"19-213/Y2C-CQ2R2L/3T(CY)"	"19-213/Y2C-CQ2R2L/3T(CY)"
"LED5"	"19-213/Y2C-CQ2R2L/3T(CY)"	"LED0603-RD-YELLOW"	"79.276mm"	"-35.47mm"	"79.276mm"	"-35.47mm"	"79.273mm"	"-34.671mm"	"2"	"T"	"270"	"Yes"	"19-213/Y2C-CQ2R2L/3T(CY)"	"19-213/Y2C-CQ2R2L/3T(CY)"
"LED6"	"19-213/Y2C-CQ2R2L/3T(CY)"	"LED0603-RD-YELLOW"	"79.248mm"	"-32.004mm"	"79.248mm"	"-32.004mm"	"79.245mm"	"-31.205mm"	"2"	"T"	"270"	"Yes"	"19-213/Y2C-CQ2R2L/3T(CY)"	"19-213/Y2C-CQ2R2L/3T(CY)"
"LED7"	"19-213/Y2C-CQ2R2L/3T(CY)"	"LED0603-RD-YELLOW"	"79.248mm"	"-28.448mm"	"79.248mm"	"-28.448mm"	"79.245mm"	"-27.649mm"	"2"	"T"	"270"	"Yes"	"19-213/Y2C-CQ2R2L/3T(CY)"	"19-213/Y2C-CQ2R2L/3T(CY)"
"LED8"	"19-213/Y2C-CQ2R2L/3T(CY)"	"LED0603-RD-YELLOW"	"79.276mm"	"-24.886mm"	"79.276mm"	"-24.886mm"	"79.273mm"	"-24.087mm"	"2"	"T"	"270"	"Yes"	"19-213/Y2C-CQ2R2L/3T(CY)"	"19-213/Y2C-CQ2R2L/3T(CY)"
"LED9"	"19-213/Y2C-CQ2R2L/3T(CY)"	"LED0603-RD-YELLOW"	"79.276mm"	"-21.36mm"	"79.276mm"	"-21.36mm"	"79.273mm"	"-20.561mm"	"2"	"T"	"270"	"Yes"	"19-213/Y2C-CQ2R2L/3T(CY)"	"19-213/Y2C-CQ2R2L/3T(CY)"
